CONCELLO,PROVINCIA,ENDEREZO,CÓDIGO POSTAL,TELéFONO,FAX,CORREO ELECTRÓNICO,PORTAL WEB,LATITUD,LONGITUD
Bóveda,Lugo,Avda. Alfonso XIII  85,27340,982426006,982426302,atencionciudadano@boveda.gob.es,http://www.boveda.gob.es,42.623649,-7.484543
Burela,Lugo,Eijo Garay 20,27880,982586000,982585945,burela@burela.org,http://www.burela.org,43.660758,-7.356082
Carballedo,Lugo,Plaza Victor Portomeñe 1,27520,982466201,982466352,info@concellocarballedo.es,http://www.concellocarballedo.es,42.538655,-7.813489
Castro de Rei,Lugo,Praza Maior 1,27250,982314034,982314061,info@castroderei.gal,https://www.castroderei.gal,43.207326,-7.398981
Castroverde,Lugo,Praza do Concello Nº 2,27120,982312080,982313011,info@concellodecastroverde.com,https://concellodecastroverde.gal,43.02963,-7.325698
Cervantes,Lugo,Rúa Deputación S/N.  San Román,27664,982364904,982364910,concello.cervantes.cervantes@eidolocal.es,http://www.concellocervantes.es,42.867647,-7.058909
Cervo,Lugo,Praza do Concello  S/N,27891,982557777,982557729,concello.cervo@eidolocal.es,http://www.concellodecervo.com/,43.671655,-7.411003
Chantada,Lugo,Plaza de Galicia  1,27500,982440011,982462102,concello@concellodechantada.org,http://www.concellodechantada.org,42.609276,-7.768782
Cospeito,Lugo,Avda. Terra Cha  Nº 29. Feria del Monte. ,27377,982520001,982520102,concellodecospeito@concellodecospeito.es,https://www.concellodecospeito.es,43.236449,-7.557617
Folgoso do Courel,Lugo,Rúa Deputación  s/n,27325,982433001,982433001,concello.folgosodocourel@eidolocal.es,http://www.folgosodocourel.es,42.587852,-7.196257
Foz,Lugo,Rúa  Alvaro Cunqueiro Nº 24,27780,982140027,982141600,oficinasxerais@concellodefoz.es,http://www.concellodefoz.es,43.568314,-7.259552
Friol,Lugo,Praza de España 4,27220,982375001,982375206,info@concellodefriol.es,http://www.concellodefriol.es,43.028922,-7.791587
Guitiriz,Lugo,Rua do Concello  4,27300,982370109,982372178,info@concellodeguitiriz.com,http://www.concellodeguitiriz.com,43.181632,-7.892207
Guntín,Lugo,Avda. Santiago Nº 12,27211,982320001,982320088,concellodeguntin@gmail.com,http://www.concellodeguntin.es/,42.890793,-7.697988
Láncara,Lugo,Rosalía de Castro Nº17 - Pobra de San Xiao,27360,982543152,982543077,contacto@concellodelancara.com,http://www.concellodelancara.com,42.865038,-7.443833
Lourenzá,Lugo,Praza Conde Santo S/N - Vilanova,27760,982121006,982121506,concello.lourenza@eidolocal.es,http://www.concellodelourenza.gal,43.470435,-7.297577
Lugo,Lugo,Praza Maior Nº1,27001,982297100,982297101,010@concellodelugo.org,http://lugo.gal/gl,43.010084,-7.556448
Meira,Lugo,Praza do Concello S/N ,27240,982330102,982330102,consultas@concellodemeira.com,http://www.concellodemeira.com,43.213363,-7.294418
Mondoñedo,Lugo,Praza do Concello Nº1,27740,982524003,982507421,concellomondonedo@gmail.com,http://www.concellomondonedo.es,43.425692,-7.35738
Monforte de Lemos,Lugo,Plaza de San Antonio S/N,27400,982402501,982404812,informatica@concellodemonforte.com,http://www.monfortedelemos.es/,42.522898,-7.516408
Monterroso,Lugo,Plaza de Galicia Nº1 ,27560,982377001,982377617,concello.monterroso@eidolocal.es,http://www.monterroso.es,42.79296,-7.836632
Muras,Lugo,Praza da Galeguidade  Nº 4,27836,982500001,982500063,administracion@muras.gal,https://muras.gal,43.467077,-7.723091
Navia de Suarna,Lugo,Praza de España  Nº1,27650,982365166,982365112,concello.naviadesuarna@eidolocal.es,http://www.concellonaviadesuarna.es ,42.964329,-7.006236
Negueira de Muñiz,Lugo,Praza do concello nº2,27113,982353303,982353314,negueira@hotmail.es,http://www.negueira.es,43.134373,-6.893889
O Corgo,Lugo,Barrio da Portela  s/n,27163,982302100,982302068,concello.ocorgo@eidolocal.es,http://www.concellodocorgo.com,42.948083,-7.447082
O Incio,Lugo,Praza de España  Nº 1,27346,982427014,982427100,administracion@concellodeoincio.com,http://www.concellooincio.es,42.656442,-7.363957
O Páramo,Lugo,Torre Nº 1,27363,982539156,982539156,concello.oparamo@eidolocal.es,http://www.concellodeparamo.es,42.950219,-7.2943
O Saviñao,Lugo,Praza de España  Nº1,27540,982452061,982453048,savinao@telefonica.net,http://www.concellodosavinao.com,42.586139,-7.640144
O Valadouro,Lugo,Rúa Feira Nova Nº 1- Ferreira,27770,982574000,982574303,info@valadouro.com,http://www.valadouro.org,43.549186,-7.437782
O Vicedo,Lugo,Rúa Travesía da Mariña  Nº 57,27860,982590029,982590001,concello@concellodovicedo.org,http://www.concellodovicedo.org,43.732879,-7.672321
Ourol,Lugo,O Mesón  S/N.,27865,982559109,982559002,concellodeourol@concellodeourol.es,http://www.concellodeourol.es,43.564701,-7.642198
Outeiro de Rei,Lugo,Praza do Concello  Nº1,27150,982393281,982393112,correo@concellodeouteiroderei.org,http://www.outeiroderei.org,43.101899,-7.613638
Palas de Rei,Lugo,Avda. de Compostela  28,27200,982380001,982374015,info@palasderei.org,http://www.concellopalasderei.es,42.873185,-7.869161
Pantón,Lugo,Praza do Concello 1. O Castro de Ferreira,27430,982456005,982456562,concello.de.panton@eidolocal.es,http://www.concellodepanton.es,42.505859,-7.623487
Paradela,Lugo,Rúa Cabaleiros de Santiago  nº 15,27611,982541101,982541232,concello.paradela@eidolocal.es,http://www.paradela.es,42.76209,-7.562628
Pedrafita do Cebreiro,Lugo,Plaza de España  Nº 2,27670,982367103,982367150,conpedrafita@hotmail.com,http://www.concellopedrafita.es,42.726756,-7.021707
Pol,Lugo,Praza de Galicia Nº 1 - Mosteiro,27270,982345029,982345330,concello.pol@eidolocal.es,http://www.concellopol.es,43.129945,-7.353727
Portomarín,Lugo,Praza Conde Fenosa 1,27170,982545070,982545104,administracion@concellodeportomarin.es,http://www.concellodeportomarin.es,42.807663,-7.616057
Quiroga,Lugo,Rua Real Nº 52,27320,982428001,982428808,concello.quiroga@eidolocal.es,http://www.concellodequiroga.com,42.476101,-7.272686
Rábade,Lugo,José Pardo y Pardo Montenegro  s/n,27370,982390062,982390411,concello@rabade.org,http://www.concellorabade.es/,43.120834,-7.622312
Ribadeo,Lugo,Plaza de España  1,27700,982128650,982130975,ribadeo@ribadeo.org,https://www.ribadeo.gal,43.536222,-7.03948
Ribas de Sil,Lugo,Plaza Mayor  Nº 1 - San Clodio,27310,982428237,982428551,concello.ribasdesil@eidolocal.es,http://www.concelloribasdesil.es,42.466292,-7.287133
Ribeira de Piquín,Lugo,Chao de Pousadoiro S/N,27242,982333601,982333735,info@ribeiradepiquin.es,http://www.ribeiradepiquin.es,43.200867,-7.20363
Riotorto,Lugo,Praza das Rodrigas Nº1,27744,982346222,982346033,concelloderiotorto@infonegocio.com,http://www.concelloderiotorto.gal,43.342096,-7.261083
Samos,Lugo,Praza de España  1,27620,982546002,982546122,concello.samos@eidolocal.es,http://www.concellodesamos.com,42.73078,-7.326545
Sarria,Lugo,Mayor  14,27600,982535000,982530916,concellodesarria@sarria.es,https://www.sarria.gal,42.777011,-7.416142
Sober,Lugo,Praza do Concello  S/N,27460,982460001,982460002,info@concellodesober.com,http://www.concellodesober.com,42.461862,-7.587178
Taboada,Lugo,Praza do Xral. Muinelo  Nº 1,27550,982465301,982465089,concello.tabaoda@eidolocal.es,http://www.concellotaboada.es,42.716435,-7.762277
Trabada,Lugo,Rúa do Concello Nº 15,27765,982135011,982135257,concello@trabada.es,http://www.trabada.es,43.447085,-7.194411
Triacastela,Lugo,Praza da Deputación  Nº 1,27630,982548147,982548147,concello.triacastela@eidolocal.es,http://www.concellotriacastela.es,42.754493,-7.243072
Vilalba,Lugo,Praza da Constitución Nº 1,27800,982510305,982511815,info@vilalba.org,http://www.vilalba.org,43.297526,-7.680758
Viveiro,Lugo,Plaza Mayor  1,27850,982560128,982561147,concello@viveiro.es,http://www.viveiro.es,43.66221,-7.595278
Xermade,Lugo,Praza do Concello S/N,27833,982501002,982501027,xermade@xermade.org,http://www.xermade.org/,43.354739,-7.813473
Xove,Lugo,Camiño Real  S/N,27870,982592001,982592154,concello@xove.es,http://www.xove.gal,43.685591,-7.509104
A Arnoia,Ourense,Otero Cruz  12,32417,988486900,988486901,info@arnoia.es,http://www.arnoia.es,42.252759,-8.135719
A Bola,Ourense,Campo de Veiga Nº4,32812,988451293,988451293,concello@concelloabola.gal,,42.1563803,-7.9119663
A Gudiña,Ourense,Avda Beato Sebastián de  Aparicio Nº 76,32540,988594006,988421081,administracion@concellogudina.org,,42.060756,-7.138131
A Merca,Ourense,Estrada de Celanova  Nº 3,32830,988260000,988260000,concello@amerca.es,http://www.amerca.gal/,42.21901317255021,-7.908461093902588
A Mezquita,Ourense,Avda.da Constitución 7,32549,988425541,988425630,concello@amezquita.gal,https://amezquita.gal/,42.013669,-7.045345
A Peroxa,Ourense,Casa do Concello Nº 83,32150,988206614,988206619,concello@aperoxa.es,http://www.aperoxa.es/,42.440256,-7.793947
A Pobra de Trives,Ourense,Paseo de San Roque Nº 4 1º,32780,988330000,988331010,concello@concellodapobradetrives.com,http://www.apobradetrives.es/,42.3407489,-7.2518635
A Rúa,Ourense,Praza José Antonio Míguez  1,32350,988310116,988311321,info@arua.gal,http://www.arua.es/,42.395053315255424,-7.114095999413621
A Teixeira,Ourense,Estrada Ivedo-Valilongo Nº 19,32765,988207400,988207445,concello.ateixeira@eidolocal.es,,42.391254,-7.472425
A Veiga,Ourense,Praza do Concello Nº 1,32360,988350000,988350060,aveiga@penatrevinca.com,http://www.aveiga.es,42.250037,-7.02614
Allariz,Ourense,Plaza Mayor  Nº 1 ,32660,988440001,988440078,concello@allariz.com,https://www.allariz.gal/,42.19013,-7.801661
Amoeiro,Ourense,Rúa Castor Sánchez Martínez  6,32170,988281000,988279988,concello@amoeiro.gal,http://www.amoeiro.gal,42.415192,-7.947305
Avión,Ourense,Praza do Concello  s/n,32435,988486000,988490705,concello@concelloavion.org,http://www.concelloavion.org,42.375737,-8.251988
Baltar,Ourense,Avda. do Sarxento Seoane  S/N,32632,988466503,988449781,concello@concellodebaltar.com,,41.952086,-7.715213
Bande,Ourense,Rúa San Roque 2-2º,32840,988443001,988443430,concello.bande.bande@eidolocal.es,http://www.concellobande.com,42.031532,-7.975248
Baños de Molgas,Ourense,Dtor.Samuel González  2,32701,988430000,988430393,concello.banosdemolgas@eidolocal.es,http://www.concellodemolgas.es/,42.24476,-7.668438
Barbadás,Ourense,Cimadevila Nº 11,32890,988360000,988360126,concello@barbadas.es,http://www.barbadas.es,42.29802,-7.886126
Beade,Ourense,Rúa Caudillo S/N.,32431,988480034,988480075,info@beade.es,http://www.beade.es,42.325571,-8.12322
Beariz,Ourense,Rúa de San Pedro Nº 2,32520,988284000,988284320,alcaldia@beariz.org,http://www.beariz.org,42.466779,-8.27307
Boborás,Ourense,Rúa Cristobal Colón S/N,32514,988402008,988402108,administracion@boboras.gal,http://boboras.gal/,42.432279,-8.143262
Calvos de Randín,Ourense,Praza A Laborada  s/n,32644,988434000,988434110,concello.calvosderandin@eidolocal.es,http://www.calvosderandin.com/,41.944783,-7.895675
Carballeda de Avia,Ourense,Rúa Muñoz Calero Nº 3,32412,988487000,988487176,info@carballedadeavia.es,http://www.carballedadeavia.com/,42.3202026,-8.1654411
Carballeda de Valdeorras,Ourense,Estrada de Éntoma Nº 54  Sobradelo,32330,988335002,988335379,administracion@concellocarballedavaldeorras.com,http://concellocarballedavaldeorras.com/,42.415912,-6.91061
Cartelle,Ourense,Toxal Nº1  Outomouro,32824,988491120,988485881,concello.cartelle@eidolocal.es,http://www.cartelle.es/,42.224932,-8.019572
Castrelo de Miño,Ourense,Rúa Alejandro Ferrer Nº 18,32430,988493000,988493100,concello@castrelo.gal,http://www.castrelo.gal,42.295739,-8.096432
Castrelo do Val,Ourense,Rúa Toural Nº 15 ,32625,988419002,988419122,administracion@castrelodoval.com,http://castrelodoval.gal/,41.988337,-7.421737
Castro Caldelas,Ourense,Rua do Concello   Nº 1,32760,988203305,988203481,correo.castrocaldelas@fegamp.gal,http://www.castrocaldelas.es/,42.374196,-7.41553
Celanova,Ourense,Praza Maior Nº 1,32800,988431487,988451623,concello.celanova@eidolocal.es,http://www.celanova.gal/,42.151726,-7.957865
